Region,Period,Model,F1,PR-AUC,PR-AUC Error
Central Asia,2021-2023,CatBoost,0.2677,0.2047,0.0069
Central Asia,2021-2023,CatBoost deployment-weighted,0.143,0.0934,0.0044
Central Asia,2021-2023,FT-Transformer (global full),0.2357,0.2962,0.0058
Central Asia,2021-2023,FWI-only CatBoost,0.1549,0.0982,0.0011
Central Asia,2021-2023,LSTM attention (global full),0.2481,0.2634,0.0082
Central Asia,2021-2023,LSTM embedding fusion (global full),0.2679,0.2397,0.0059
Central Asia,2021-2023,LSTM gated MoE (global full),0.2427,0.298,0.006
Central Asia,2021-2023,LSTM static concat (global full),0.2802,0.3217,0.0117
Central Asia,2021-2023,Logistic Regression (linear SGD),0.1881,0.1043,0.0003
Central Asia,2021-2023,Minimal MLP (global full),0.2858,0.2819,0.0118
Central Asia,2021-2023,Poisson Point-Process GLM,0.1981,0.1463,0.0039
Central Asia,2021-2023,Random Forest,0.2392,0.3233,0.0104
Central Asia,2021-2023,Spatial climate TSN embedding fusion (global full),0.3433,0.3999,0.0106
Central Asia,2021-2023,Spatial climate TSN-MLP (ECMWF global full),0.2269,0.3528,0.0114
Central Asia,2021-2023,Spatial climate TSN-MLP (global full),0.3689,0.4714,0.0169
Central Asia,2021-2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.3605,0.459,0.0133
Central Asia,2021-2023,TemporalConvNet / TSN-MLP (global full),0.1897,0.2909,0.008
Central Asia,2021-2023,Weather-only CatBoost,0.157,0.0837,0.0008
Central Asia,2021-2025,CatBoost,0.2356,0.1789,0.0028
Central Asia,2021-2025,CatBoost deployment-weighted,0.1128,0.0719,0.0023
Central Asia,2021-2025,FT-Transformer (global full),0.2025,0.2673,0.0021
Central Asia,2021-2025,FWI-only CatBoost,0.1241,0.0743,0.0014
Central Asia,2021-2025,LSTM attention (global full),0.2123,0.2473,0.0082
Central Asia,2021-2025,LSTM embedding fusion (global full),0.231,0.2112,0.0086
Central Asia,2021-2025,LSTM gated MoE (global full),0.2122,0.2713,0.0125
Central Asia,2021-2025,LSTM static concat (global full),0.244,0.2874,0.0114
Central Asia,2021-2025,Logistic Regression (linear SGD),0.1525,0.0828,0.0004
Central Asia,2021-2025,Minimal MLP (global full),0.2548,0.2619,0.005
Central Asia,2021-2025,Poisson Point-Process GLM,0.1672,0.1224,0.0034
Central Asia,2021-2025,Random Forest,0.2062,0.2861,0.0056
Central Asia,2021-2025,Spatial climate TSN embedding fusion (global full),0.3104,0.3477,0.0073
Central Asia,2021-2025,Spatial climate TSN-MLP (ECMWF global full),0.1916,0.3232,0.0084
Central Asia,2021-2025,Spatial climate TSN-MLP (global full),0.343,0.4225,0.0097
Central Asia,2021-2025,Spatial climate TSN-MLP no tp (ERA5 global full),0.3315,0.4132,0.0085
Central Asia,2021-2025,TemporalConvNet / TSN-MLP (global full),0.1567,0.2717,0.0084
Central Asia,2021-2025,Weather-only CatBoost,0.1312,0.0698,0.001
Eastern Siberia,2021-2023,CatBoost,0.6401,0.6855,0.0027
Eastern Siberia,2021-2023,CatBoost deployment-weighted,0.4875,0.3995,0.0008
Eastern Siberia,2021-2023,FT-Transformer (global full),0.5729,0.5537,0.0029
Eastern Siberia,2021-2023,FWI-only CatBoost,0.5028,0.448,0.0024
Eastern Siberia,2021-2023,LSTM attention (global full),0.5991,0.57,0.0064
Eastern Siberia,2021-2023,LSTM embedding fusion (global full),0.6129,0.5759,0.0035
Eastern Siberia,2021-2023,LSTM gated MoE (global full),0.6154,0.6133,0.0035
Eastern Siberia,2021-2023,LSTM static concat (global full),0.6279,0.528,0.0019
Eastern Siberia,2021-2023,Logistic Regression (linear SGD),0.546,0.3763,0.0007
Eastern Siberia,2021-2023,Minimal MLP (global full),0.6198,0.5789,0.003
Eastern Siberia,2021-2023,Poisson Point-Process GLM,0.5991,0.5888,0.0037
Eastern Siberia,2021-2023,Random Forest,0.603,0.6469,0.0021
Eastern Siberia,2021-2023,Spatial climate TSN embedding fusion (global full),0.7507,0.795,0.003
Eastern Siberia,2021-2023,Spatial climate TSN-MLP (ECMWF global full),0.5952,0.6399,0.003
Eastern Siberia,2021-2023,Spatial climate TSN-MLP (global full),0.7601,0.8084,0.0023
Eastern Siberia,2021-2023,Spatial climate TSN-MLP no tp (ERA5 global full),0.7473,0.786,0.0025
Eastern Siberia,2021-2023,TemporalConvNet / TSN-MLP (global full),0.5413,0.5625,0.0024
Eastern Siberia,2021-2023,Weather-only CatBoost,0.5887,0.5145,0.0023
Eastern Siberia,2021-2025,CatBoost,0.605,0.647,0.0051
Eastern Siberia,2021-2025,CatBoost deployment-weighted,0.4432,0.3384,0.0022
Eastern Siberia,2021-2025,FT-Transformer (global full),0.5254,0.502,0.0051
Eastern Siberia,2021-2025,FWI-only CatBoost,0.4599,0.4011,0.0035
Eastern Siberia,2021-2025,LSTM attention (global full),0.5543,0.5196,0.0022
